Country,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Albania,61,546,427,591,264,81
Antigua and Barbuda,0,0,1,6,4,0
Argentina,1452,17655,13490,21781,19862,7979
Armenia,24,175,290,649,574,193
Aruba,0,7,24,42,22,6
Australia,320,11086,15034,26150,12911,4610
Austria,143,4367,6273,16298,14278,8714
Azerbaijan,60,299,334,576,324,63
Bahamas,2,17,21,44,8,1
Bahrain,4,54,217,173,15,0
Barbados,2,23,43,70,32,7
Belarus,331,5490,10314,25080,15338,3339
Belgium,216,4475,8731,24300,16887,8152
Belize,12,98,92,104,33,9
Bosnia and Herzegovina,1,8,23,126,109,51
Brazil,3029,44597,52534,79860,37556,9037
Bulgaria,301,2543,3322,10049,12734,7439
Cabo Verde,3,6,8,20,3,2
Canada,979,15909,19997,44014,20848,5814
Chile,532,7845,8775,14477,7274,1992
Colombia,1866,17956,12455,12990,6232,1581
Costa Rica,123,1577,1668,2352,889,183
Croatia,74,1290,1693,5744,6703,2925
Cuba,185,3522,5827,13570,11741,6573
Cyprus,0,55,86,155,96,20
Czech Republic,174,3596,5498,16885,12042,5492
Denmark,39,874,1604,5738,4683,2359
Dominica,0,0,0,0,0,0
Ecuador,1078,7662,4853,4554,1994,519
El Salvador,309,4327,2939,2700,1105,303
Estonia,48,673,915,2715,1973,710
Fiji,9,85,74,85,39,12
Finland,96,3822,5634,13908,8093,2124
France,877,19849,42510,123510,86509,55872
Georgia,28,350,474,974,1017,381
Germany,832,17902,32947,97833,89191,52557
Greece,41,1020,1910,3994,3643,1760
Grenada,1,4,9,13,9,2
Guatemala,313,3035,1967,1944,705,185
Guyana,88,869,852,1201,360,56
Hungary,146,3571,7000,29810,22689,10675
Iceland,6,197,223,370,257,55
Ireland,86,2472,2788,4498,2372,358
Israel,94,1823,1885,3370,2627,1495
Italy,400,8571,16115,39250,43314,24410
Jamaica,11,34,38,55,34,12
Japan,2130,52288,94529,278679,272705,106571
Kazakhstan,1911,18774,23861,37598,16122,3280
Kiribati,6,23,9,11,4,0
Kuwait,7,130,435,363,31,0
Kyrgyzstan,469,2779,2970,4534,1930,408
Latvia,52,1047,1804,5033,3691,1143
Lithuania,108,2684,3998,11952,7277,2020
Luxembourg,10,150,270,752,546,230
Macau,0,2,5,10,5,5
Maldives,2,6,5,6,0,1
Malta,2,68,110,237,127,41
Mauritius,60,865,1079,1380,434,76
Mexico,3930,33664,27226,29997,12318,4004
Mongolia,0,103,142,142,30,6
Montenegro,5,21,51,156,166,73
Netherlands,189,4071,7801,20382,13444,4946
New Zealand,157,3458,3024,4634,2327,783
Nicaragua,80,701,549,462,182,39
Norway,128,2416,2984,6052,4091,1321
Oman,0,7,13,9,2,2
Panama,69,889,861,1013,492,159
Paraguay,250,1790,941,1110,546,146
Philippines,493,7107,5358,5716,2168,488
Poland,849,15191,20301,60061,35758,6938
Portugal,85,1505,2590,6535,8189,5157
Puerto Rico,53,971,1599,3415,2174,831
Qatar,1,108,203,244,17,1
Republic of Korea,1428,24243,43167,96292,68574,28026
Romania,598,5981,9243,29720,21878,5357
Russian Federation,8840,148611,231187,479140,267753,74211
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,4,40,53,78,41,14
Saint Vincent and Grenadines,3,19,33,52,11,6
San Marino,0,0,1,1,2,0
Serbia,41,1124,1963,6947,9230,4874
Seychelles,1,15,19,47,12,4
Singapore,83,1084,1797,3549,2341,1235
Slovakia,62,1186,1834,6085,3363,907
Slovenia,37,733,1134,3971,3484,1256
South Africa,163,2034,2160,2102,691,171
Spain,354,7559,13373,30331,29807,18778
Sri Lanka,712,14360,12685,17439,8105,2340
Suriname,64,489,531,718,281,83
Sweden,129,3395,4983,13485,10720,5083
Switzerland,70,2015,2867,8846,7707,4712
Thailand,1044,23022,28135,38392,16646,3404
Trinidad and Tobago,63,882,1051,1358,560,125
Turkey,290,2182,2080,3304,1713,562
Turkmenistan,240,2758,2225,2487,765,149
Ukraine,1949,27509,49633,124721,90385,25753
United Arab Emirates,2,104,257,235,23,1
United Kingdom,242,14925,26287,54085,30082,11184
United States,8923,141679,182047,380917,224770,95677
Uruguay,104,1766,1957,3764,3735,1812
Uzbekistan,1376,9673,8578,10964,3595,617
